Rank,Address,Name Tag,Balance,Percentage,Txn Count
226,0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,,"63,808.14442007 Ether",0.05323498%,70
227,0x795cbc7a670d06e56cd2197d4ca175e081a416ad,,"63,799.78502026 Ether",0.05322800%,23
228,0x8759b0b1d9cba80e3836228dfb982abaa2c48b97,,"63,734.36885313 Ether",0.05317343%,305
229,0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,,"63,413.41030219 Ether",0.05290565%,230
230,0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,,"63,413.41030219 Ether",0.05290565%,233
231,0xecef66258cc21cb742ac34c68375b311fd3f34cc,,"63,413.41030219 Ether",0.05290565%,138
232,0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,,"63,413.41030219 Ether",0.05290565%,72
233,0xd65d71e5ecccfcf72b84cad65370626e048d1b33,,"63,413.41030219 Ether",0.05290565%,69
234,0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,,"63,413.41030219 Ether",0.05290565%,74
235,0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,,"63,413.41030219 Ether",0.05290565%,81
236,0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,,"63,413.41030219 Ether",0.05290565%,78
237,0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,,"63,413.41030219 Ether",0.05290565%,74
238,0xe27f62b70ab44d7fd1842dce66138a31940fa29a,,"63,413.41030219 Ether",0.05290565%,69
239,0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,,"63,413.41030219 Ether",0.05290565%,70
240,0xc4d5b7c576edfbac20fa081cff79ec745193e207,,"63,386.12542782 Ether",0.05288289%,220
241,0x7f3a1e45f67e92c880e573b43379d71ee089db54,,"62,494.64687242 Ether",0.05213913%,178
242,0xd40e8cee01a147f0a24524d725ef1f0297ba6b06,,"62,251.18689326 Ether",0.05193601%,45
243,0xdfb6a4b143f6a1de4725c451c46433801de52bfd,,"62,000.28142684 Ether",0.05172668%,20
244,0x8b505e2871f7deb7a63895208e8227dcaa1bff05,,"61,216.6 Ether",0.05107286%,2
245,0x5a52e96bacdabb82fd05763e25335261b270efcb,,"59,999.21628168 Ether",0.05005720%,302
246,0x7826cb9710dcaa624f04819f5f2b644a5bd6cc06,,"59,755.28090275 Ether",0.04985368%,2
249,0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,,"59,390.40799044 Ether",0.04954927%,159
250,0xa43d2e05ed00c040c8422a88cb8ede921a539f92,,"59,013.14017755 Ether",0.04923452%,790
251,0x998a7fd73446cd6532bf3058a270581730b27137,,"58,938.03695535 Ether",0.04917186%,5
252,0xb8d2b921c0ea0ca27266fa63907a079ef25084d0,,"58,744.95103088 Ether",0.04901077%,4741
253,0x904cc2b2694ffa78f04708d6f7de205108213126,,"58,000 Ether",0.04838926%,8
254,0x693be1ea307e3b3826d34e96336399969898dee8,,"57,812.78317834 Ether",0.04823306%,3
255,0x16769e533352798deb664ba570230a758346ca1a,,"57,800.08474375 Ether",0.04822247%,258
256,0x8c3389616404fda275cfdba0c7b0b3d1fee9ebdc,,"57,624.53522639 Ether",0.04807601%,1
